Item,Cost,Source
RP2040,0.94,https://www.lcsc.com/product-detail/C2040.html?s_z=s_p_RP2040&spm=wm.ssy.bg.0.xh&lcsc_vid=E1ENUAdXFlVdBAVSQFBZUQJQRFEMVgIFEgVcAgBRQgQxVlNRQFNbUVBfR1haUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
Crystal oscillator,0.07,https://www.lcsc.com/product-detail/C9002.html?s_z=s_q_CRYSTAL%252012MHZ&spm=wm.ssy.bg.0.xh&lcsc_vid=E1ENUAdXFlVdBAVSQFBZUQJQRFEMVgIFEgVcAgBRQgQxVlNRQFNbUVFTRlVXXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVFaV0oOAwwC
MCP1700 LDO (3.3V),0.98,https://www.lcsc.com/product-detail/C39051.html?s_z=n_q_mcp1700%2520tt&spm=wm.ssy.bg.16.xh&lcsc_vid=E1ENUAdXFlVdBAVSQFBZUQJQRFEMVgIFEgVcAgBRQgQxVlNRQFNbUVJRR1hcXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
USB-C port (16-pin),0.08,https://www.lcsc.com/product-detail/C2988369.html?s_z=n_q_usb%2520c%252016&spm=wm.ssy.bg.0.xh&lcsc_vid=E1ENUAdXFlVdBAVSQFBZUQJQRFEMVgIFEgVcAgBRQgQxVlNRQFNbUVNSRVVYVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRFheUlVIHxUDCw%3D%3D
W25Q128JVSIQ flash memory,1.96,https://www.lcsc.com/product-detail/C97521.html?s_z=s_q_W25Q128JVSIQ&spm=wm.ssy.bg.0.xh&lcsc_vid=E1ENUAdXFlVdBAVSQFBZUQJQRFEMVgIFEgVcAgBRQgQxVlNRQFNbUVxWRFlWVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVhWX1dQTk8GEwkK
PCM5102A DAC,1.02,https://www.lcsc.com/product-detail/C107671.html?s_z=n_q_pcm5102a&spm=wm.ssy.bg.1.xh&lcsc_vid=E1ENUAdXFlVdBAVSQFBZUQJQRFEMVgIFEgVcAgBRQgQxVlNRQFNbUV1XRVlaVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
PAM8302AAD speaker amplifier,0.21,https://www.lcsc.com/product-detail/C112137.html?s_z=n_q_pam8302aad&spm=wm.ssy.bg.0.xh&lcsc_vid=E1ENUAdXFlVdBAVSQFBZUQJQRFEMVgIFEgVcAgBRQgQxVlNRQFNbUV1SQFJbUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlFZUVNXWQkaCgg%3D
BQ25185 battery charging IC,1.66,https://www.lcsc.com/product-detail/C19725033.html?s_z=s_p_BQ25185DLHR&spm=wm.ssy.bg.0.xh&lcsc_vid=E1ENUAdXFlVdBAVSQFBZUQJQRFEMVgIFEgVcAgBRQgQxVlNRQFNbUV1fQ1RWVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlBcVldRWQkaCgg%3D
PCB,0.42,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=21&stencilLength=54&stencilCounts=5&plateType=1
Stencil,3.05,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=21&stencilLength=54&stencilCounts=5&plateType=1
